date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,admin1_registry,admin2_registry,year_month,exchange_rate,year,producer_price_index,price_spread,price_scaled,month,month_sin,month_cos,fx_scaled,spread_scaled
2006-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,22.0,23.91,UPPER EAST,BOLGATANGA MUNICIPAL,2006-01,0.90815363,2006,959831.84375,-959809.84375,0.05597095212479827,1,0.49999999999999994,0.8660254037844387,0.0,1.1458833478639185e-05
2006-02-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,24.25,26.36,UPPER EAST,BOLGATANGA MUNICIPAL,2006-02,0.90870828,2006,959831.84375,-959807.59375,0.06202259279182355,2,0.8660254037844386,0.5000000000000001,4.559449278107586e-05,1.380268578099475e-05
2006-05-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,20.25,22.01,UPPER EAST,BOLGATANGA MUNICIPAL,2006-05,0.91162705,2006,959831.84375,-959811.59375,0.05126412049488972,5,0.49999999999999994,-0.8660254037844387,0.00028552929435803065,9.635837243338052e-06
2006-06-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,17.67,19.21,UPPER EAST,BOLGATANGA MUNICIPAL,2006-06,0.9145733,2006,959831.84375,-959814.17375,0.0443249058633674,6,1.2246467991473532e-16,-1.0,0.0005277230640439168,6.948219936631084e-06
2006-07-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,15.5,16.85,UPPER EAST,BOLGATANGA MUNICIPAL,2006-07,0.91625145,2006,959831.84375,-959816.34375,0.03848843464228079,7,-0.4999999999999997,-0.8660254037844388,0.0006656738403182927,4.6877046048221516e-06
2006-08-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,15.5,16.85,UPPER EAST,BOLGATANGA MUNICIPAL,2006-08,0.91768017,2006,959831.84375,-959816.34375,0.03848843464228079,8,-0.8660254037844385,-0.5000000000000004,0.0007831204530041186,4.6877046048221516e-06
2006-09-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,16.88,18.35,UPPER EAST,BOLGATANGA MUNICIPAL,2006-09,0.92038793,2006,959831.84375,-959814.96375,0.042200107584722965,9,-1.0,-1.8369701987210297e-16,0.001005709371732888,6.125267350332031e-06
2006-10-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,16.0,17.39,UPPER EAST,BOLGATANGA MUNICIPAL,2006-10,0.92101198,2006,959831.84375,-959815.84375,0.03983324367939752,10,-0.8660254037844386,0.5000000000000001,0.001057008827642092,5.208560672098628e-06
2006-11-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,15.13,16.45,UPPER EAST,BOLGATANGA MUNICIPAL,2006-11,0.92112518,2006,959831.84375,-959816.71375,0.037493275954814415,11,-0.5000000000000004,0.8660254037844384,0.0010663143294591254,4.30227111514192e-06
2006-12-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,17.0,18.48,UPPER EAST,BOLGATANGA MUNICIPAL,2006-12,0.92097612,2006,959831.84375,-959814.84375,0.04252286175363098,12,-2.4492935982947064e-16,1.0,0.0010540609893456288,6.250272806540558e-06
