date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,admin1_registry,admin2_registry,year_month,exchange_rate,year,producer_price_index,price_spread,price_scaled,month,month_sin,month_cos,fx_scaled,spread_scaled
2006-01-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,25.4,27.61,ASHANTI,KMA,2006-01,0.90815363,2006,959831.84375,-959806.44375,0.052756780791462864,1,0.49999999999999994,0.8660254037844387,0.0,1.4995417826013657e-05
2006-04-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,20.88,22.7,ASHANTI,KMA,2006-04,0.910781,2006,959831.84375,-959810.96375,0.04270787016451756,4,0.8660254037844387,-0.4999999999999998,0.0002159805327652392,1.0288522786172649e-05
2006-05-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,22.0,23.91,ASHANTI,KMA,2006-05,0.91162705,2006,959831.84375,-959809.84375,0.04519786571809693,5,0.49999999999999994,-0.8660254037844387,0.00028552929435803065,1.14548330615305e-05
2006-06-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,26.7,29.02,ASHANTI,KMA,2006-06,0.9145733,2006,959831.84375,-959805.14375,0.05564695420186749,6,1.2246467991473532e-16,-1.0,0.0005277230640439168,1.6349170824048187e-05
2006-07-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,23.93,26.01,ASHANTI,KMA,2006-07,0.91625145,2006,959831.84375,-959807.91375,0.04948866162738995,7,-0.4999999999999997,-0.8660254037844388,0.0006656738403182927,1.3464635589599538e-05
2006-10-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,12.5,13.59,ASHANTI,KMA,2006-10,0.92101198,2006,959831.84375,-959819.34375,0.024077367718986213,10,-0.8660254037844386,0.5000000000000001,0.001057008827642092,1.5620226901935652e-06
2006-12-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,19.6,21.3,ASHANTI,KMA,2006-12,0.92097612,2006,959831.84375,-959812.24375,0.03986216096042686,12,-2.4492935982947064e-16,1.0,0.0010540609893456288,8.955596757176387e-06
2007-01-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,21.17,23.01,ASHANTI,KMA,2007-01,0.92116407,2007,914165.76875,-914144.59875,0.04335260115606936,1,0.49999999999999994,0.8660254037844387,0.0010695112461169415,0.047564887395561084
2007-07-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,27.25,29.3,ASHANTI,KMA,2007-07,0.927,2007,914165.76875,-914138.51875,0.05686971987550022,7,-0.4999999999999997,-0.8660254037844388,0.0015492485007025936,0.04757121879419868
2007-09-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,29.3,30.84,ASHANTI,KMA,2007-09,0.9354,2007,914165.76875,-914136.46875,0.06142730102267674,9,-1.0,-1.8369701987210297e-16,0.0022397627698112765,0.047573353558541975
2007-10-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,21.7,23.09,ASHANTI,KMA,2007-10,0.9419,2007,914165.76875,-914144.0687500001,0.04453090262338817,10,-0.8660254037844386,0.5000000000000001,0.002774089287573958,0.04756543931024482
2008-01-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,25.0,26.32,ASHANTI,KMA,2008-01,0.9686,2008,449.01,-424.01,0.051867496665184525,1,0.49999999999999994,0.8660254037844387,0.004968938214383711,0.9990664154852608
2008-03-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,33.16,34.54,ASHANTI,KMA,2008-03,0.9755,2008,449.01,-415.85,0.07000889284126277,3,1.0,6.123233995736766e-17,0.005536146364008704,0.9990749128886955
2008-04-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,39.5,39.9,ASHANTI,KMA,2008-04,0.9796,2008,449.01,-409.51,0.08410404624277457,4,0.8660254037844387,-0.4999999999999998,0.005873183090597464,0.9990815150379327
2008-05-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,52.0,53.61,ASHANTI,KMA,2008-05,0.9931,2008,449.01,-397.01,0.11189417518897286,5,0.49999999999999994,-0.8660254037844387,0.006982938165950706,0.9990945318936845
2008-07-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,79.3,72.09,ASHANTI,KMA,2008-07,1.0387,2008,449.01,-369.71,0.17258781680746996,7,-0.4999999999999997,-0.8660254037844388,0.010731444198255002,0.9991229607066462
2008-09-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,44.35,38.57,ASHANTI,KMA,2008-09,1.1109,2008,449.01,-404.65999999999997,0.09488661627389951,9,-1.0,-1.8369701987210297e-16,0.01666657874940347,0.9990865655779644
2008-12-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,38.0,31.15,ASHANTI,KMA,2008-12,1.1946,2008,449.01,-411.01,0.08076923076923076,12,-2.4492935982947064e-16,1.0,0.0235470602165936,0.9990799530152426
2009-01-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,44.5,34.77,ASHANTI,KMA,2009-01,1.2394,2009,504.695,-460.195,0.09522009782125389,1,0.49999999999999994,0.8660254037844387,0.027229802985173246,0.9990287342912307
2009-02-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,51.25,37.32,ASHANTI,KMA,2009-02,1.3069,2009,504.695,-453.445,0.11022676745220097,2,0.8660254037844386,0.5000000000000001,0.03277857836193947,0.9990357633933367
2009-03-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,55.75,39.82,ASHANTI,KMA,2009-03,1.3535,2009,504.695,-448.945,0.12023121387283237,3,1.0,6.123233995736766e-17,0.03660928847389955,0.9990404494614072
2009-05-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,69.6,48.0,ASHANTI,KMA,2009-05,1.4105,2009,504.695,-435.095,0.15102267674522007,5,0.49999999999999994,-0.8660254037844387,0.04129492101427994,0.9990548721375802
2009-07-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,67.25,45.13,ASHANTI,KMA,2009-07,1.4611,2009,504.695,-437.445,0.14579813250333482,7,-0.4999999999999997,-0.8660254037844388,0.04545444744486321,0.9990524249686988
2009-10-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,48.0,33.33,ASHANTI,KMA,2009-10,1.4541,2009,504.695,-456.695,0.1030013339261894,10,-0.8660254037844386,0.5000000000000001,0.04487901888727262,0.9990323790108412
2009-11-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,58.5,40.91,ASHANTI,KMA,2009-11,1.4413,2009,504.695,-446.195,0.126345042240996,11,-0.5000000000000004,0.8660254037844384,0.04382680666767845,0.9990433131696727
2009-12-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,58.5,41.2,ASHANTI,KMA,2009-12,1.4354,2009,504.695,-446.195,0.126345042240996,12,-2.4492935982947064e-16,1.0,0.04334180259770924,0.9990433131696727
2010-01-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,52.4,37.16,ASHANTI,KMA,2010-01,1.4295,2010,512.295,-459.895,0.11278345931525122,1,0.49999999999999994,0.8660254037844387,0.04285679852774005,0.9990290466957688
2010-03-15,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,47.25,33.27,ASHANTI,KMA,2010-03,1.4271,2010,512.295,-465.04499999999996,0.10133392618941751,3,1.0,6.123233995736766e-17,0.04265950873656614,0.9990236837511991
